2021-03-11 17:36:37,683 INFO     Opened server Juzang session
2021-03-11 17:36:37,683 DEBUG    Using selector: KqueueSelector
2021-03-11 17:36:37,684 INFO     Juzang serving on ('127.0.0.1', 15404)
2021-03-11 17:37:20,561 INFO     Received from ('127.0.0.1', 49435): AT Bernard +1246311.6389160156 kiwi.cs.ucla.edu +34.068930-118.445127 1614209128.918963997
2021-03-11 17:37:20,561 INFO     Received new propagated information about location of kiwi.cs.ucla.edu
2021-03-11 17:37:20,562 INFO     Propagating message to Riley: AT Bernard +1246311.6389160156 kiwi.cs.ucla.edu +34.068930-118.445127 1614209128.918963997
2021-03-11 17:37:20,562 INFO     Closing connection with Riley
2021-03-11 17:37:20,565 INFO     Propagating message to Bernard: AT Bernard +1246311.6389160156 kiwi.cs.ucla.edu +34.068930-118.445127 1614209128.918963997
2021-03-11 17:37:20,565 INFO     Received from ('127.0.0.1', 49442): AT Bernard +1246311.6389160156 kiwi.cs.ucla.edu +34.068930-118.445127 1614209128.918963997
2021-03-11 17:37:20,565 INFO     Received redundant propagated info for client kiwi.cs.ucla.edu, ignoring.
2021-03-11 17:37:20,566 INFO     Closed the connection with ('127.0.0.1', 49442)
2021-03-11 17:37:20,566 INFO     Closing connection with Bernard
2021-03-11 17:37:20,566 INFO     Propagating message to Campbell: AT Bernard +1246311.6389160156 kiwi.cs.ucla.edu +34.068930-118.445127 1614209128.918963997
2021-03-11 17:37:20,567 INFO     Received from ('127.0.0.1', 49444): AT Bernard +1246311.6389160156 kiwi.cs.ucla.edu +34.068930-118.445127 1614209128.918963997
2021-03-11 17:37:20,567 INFO     Received redundant propagated info for client kiwi.cs.ucla.edu, ignoring.
2021-03-11 17:37:20,567 INFO     Closed the connection with ('127.0.0.1', 49444)
2021-03-11 17:37:20,567 INFO     Closing connection with Campbell
2021-03-11 17:37:20,567 INFO     Closed the connection with ('127.0.0.1', 49435)
2021-03-11 18:58:11,551 INFO     Server Juzang closed.
